,K01,K02,K03,K04,K05,K06,K07,K08,K09,K10
T0001,46,43,47,42,47,41,47,48,47,40
T0002,44,40,45,47,46,43,44,41,45,45
T0003,48,46,44,41,40,42,45,40,48,47
T0004,41,47,48,40,40,41,45,45,43,40
T0005,47,45,40,40,46,48,43,40,45,44
T0006,45,44,43,45,45,40,43,48,40,45
T0007,47,41,42,42,48,40,47,48,46,42
T0008,43,47,45,40,41,48,42,42,47,45
T0009,43,40,45,42,47,46,44,45,41,43
T0010,48,41,45,44,44,44,40,45,43,41
T0011,42,40,41,42,48,47,47,44,43,48
T0012,40,41,41,44,42,42,41,46,45,41
T0013,44,46,44,43,42,45,46,42,44,46
T0014,40,48,43,40,40,42,46,40,47,40
T0015,45,40,44,48,46,46,45,40,48,47
T0016,48,44,46,45,44,40,46,43,41,45
T0017,42,47,43,45,46,42,44,46,41,47
T0018,47,46,44,40,40,46,42,48,41,42
T0019,45,44,47,44,44,42,46,42,45,42
T0020,41,48,43,46,46,45,45,42,40,43
T0021,45,46,44,40,48,42,46,48,41,42
T0022,46,42,40,42,47,44,42,48,48,43
T0023,44,45,47,40,41,45,48,41,41,44
T0024,46,47,41,42,48,45,40,41,44,47
T0025,44,48,43,44,43,47,41,44,47,44
T0026,45,48,44,46,41,46,40,47,44,45
T0027,47,46,47,48,48,44,44,45,42,41
T0028,42,43,45,42,43,40,43,46,47,46
T0029,45,48,46,40,46,46,48,42,47,44
T0030,48,44,45,45,42,44,40,42,48,42
T0031,41,45,41,44,45,46,40,40,40,44
T0032,40,47,42,45,41,47,42,47,44,44
T0033,40,45,43,44,43,44,46,45,45,48
T0034,44,41,40,48,46,45,46,41,44,43
T0035,46,48,43,45,42,42,46,48,44,40
T0036,41,48,47,46,41,43,41,46,45,42
T0037,47,48,47,44,42,40,41,41,42,43
T0038,42,44,42,44,45,40,40,47,45,42
T0039,42,44,46,44,41,47,44,48,41,41
T0040,40,45,43,41,40,46,43,42,44,41
T0041,44,46,43,44,46,46,45,40,43,40
T0042,41,48,45,44,46,44,45,44,45,48
T0043,47,47,42,48,43,44,40,46,46,48
T0044,46,41,45,46,48,43,47,43,42,46
T0045,44,46,48,42,41,45,44,40,41,45
T0046,40,47,45,44,40,48,46,45,48,40
T0047,41,47,45,40,41,42,41,41,47,40
T0048,42,45,41,40,48,40,43,47,41,45
T0049,45,43,42,40,44,40,40,41,45,44
T0050,48,42,47,41,42,45,43,44,42,48
T0051,45,46,46,42,42,41,42,41,42,46
T0052,43,42,47,43,44,46,42,48,41,40
T0053,40,44,47,40,40,46,42,46,48,44
T0054,42,44,40,44,43,45,42,47,48,43
T0055,47,45,44,41,47,40,47,48,44,43
T0056,47,44,41,41,42,42,45,42,43,42
T0057,44,48,45,42,46,45,42,41,48,44
T0058,46,42,46,43,42,43,47,41,45,40
T0059,44,46,45,43,40,48,45,42,43,48
T0060,45,44,45,42,42,42,45,45,47,40
T0061,40,46,42,43,43,48,41,43,42,40
T0062,45,43,46,45,40,43,46,40,45,40
T0063,46,48,44,46,42,47,42,42,42,45
T0064,40,41,45,41,45,43,40,47,48,47
T0065,42,42,41,41,40,40,42,47,45,40
T0066,43,40,40,41,43,47,44,41,40,44
T0067,47,42,48,46,41,47,43,44,44,42
T0068,47,47,46,46,42,45,47,43,45,46
T0069,41,43,43,41,43,42,40,43,40,45
T0070,42,42,44,42,46,43,46,48,45,46
T0071,46,46,40,44,44,45,45,45,46,41
T0072,43,41,47,40,43,42,41,47,42,40
T0073,41,47,41,46,44,44,47,48,42,48
T0074,46,45,42,42,40,48,47,40,47,42
T0075,40,44,48,45,46,47,42,41,45,46
T0076,42,43,42,40,41,44,45,42,48,42
T0077,44,43,42,41,40,45,47,45,47,41
T0078,41,47,41,40,47,48,47,47,40,41
T0079,42,48,40,41,43,42,48,46,42,48
T0080,44,47,45,42,46,42,42,44,48,43
T0081,45,41,45,43,46,40,44,40,42,45
T0082,48,46,43,46,44,43,41,41,47,42
T0083,47,46,40,43,40,43,43,48,47,43
T0084,43,48,46,40,40,47,40,48,48,42
T0085,43,48,44,47,42,47,40,47,42,45
T0086,45,46,45,45,47,43,43,43,42,44
T0087,43,43,45,44,41,44,48,48,44,40
T0088,41,46,47,48,41,48,45,42,40,46
T0089,45,40,48,40,42,42,40,46,47,40
T0090,44,46,40,41,40,41,46,45,42,47
T0091,44,43,44,44,48,41,41,48,47,42
T0092,48,43,42,42,45,40,47,44,43,48
T0093,44,40,41,48,47,47,48,41,42,44
T0094,45,47,46,40,41,44,45,48,46,42
T0095,48,41,40,42,40,46,43,46,44,41
T0096,45,40,47,43,44,47,42,43,42,44
T0097,43,40,43,48,46,45,46,40,47,46
T0098,41,45,42,40,46,47,44,47,45,46
T0099,44,48,41,42,40,48,45,48,45,43
T0100,40,46,43,42,44,42,41,47,41,43
T0101,48,46,43,44,42,42,42,43,40,40
T0102,45,47,40,44,42,41,47,45,48,42
T0103,42,46,42,48,45,46,46,41,45,42
T0104,46,41,44,48,40,40,43,45,44,40
T0105,41,45,42,43,40,46,45,48,47,45
T0106,48,45,46,47,41,46,48,40,40,45
T0107,41,41,41,46,45,42,43,42,48,42
T0108,44,46,48,46,41,47,43,40,43,47
T0109,46,40,48,41,44,45,43,40,46,42
T0110,46,47,48,41,47,44,48,46,41,46
T0111,43,41,46,42,45,46,46,47,47,40
T0112,42,43,48,47,41,45,44,42,44,43
T0113,46,43,44,47,42,44,42,44,46,47
T0114,45,42,45,45,48,47,48,41,48,48
T0115,43,46,42,41,47,43,45,40,46,47
T0116,42,45,40,48,40,43,48,44,46,43
T0117,45,44,47,46,40,44,43,41,47,48
T0118,42,46,43,44,42,47,46,43,41,40
T0119,47,46,47,40,47,44,43,46,47,45
T0120,40,44,47,42,48,47,42,47,41,43
T0121,44,47,42,44,45,44,44,43,42,45
T0122,40,41,43,44,47,40,42,48,42,45
T0123,40,47,41,45,47,47,43,47,43,45
T0124,40,48,41,48,42,42,43,46,47,48
T0125,44,48,43,45,48,41,47,47,44,45
T0126,48,43,45,45,42,42,40,41,48,40
T0127,45,44,44,44,43,45,43,46,41,42
T0128,47,42,40,42,48,44,40,40,43,48
T0129,46,47,44,46,40,46,47,42,45,47
T0130,47,47,46,48,48,47,47,46,47,46
T0131,46,46,42,40,43,40,46,43,41,44
T0132,47,40,48,40,43,44,40,41,44,42
T0133,40,41,45,43,40,47,41,40,47,47
T0134,44,44,42,42,46,41,44,45,43,48
T0135,40,45,41,46,44,45,42,42,41,44
T0136,47,44,41,47,46,42,44,41,40,48
T0137,45,43,41,41,41,46,48,40,46,41
T0138,44,47,45,45,40,40,44,46,42,44
T0139,45,46,44,43,47,47,40,41,40,41
T0140,46,46,43,43,42,45,46,43,43,43
T0141,48,41,48,41,44,47,46,40,46,48
T0142,48,46,41,45,41,47,40,43,42,47
T0143,44,44,44,44,48,44,45,42,46,43
T0144,42,42,45,45,40,40,41,42,43,43
T0145,46,47,40,48,46,40,45,44,48,43
T0146,48,45,40,40,41,48,45,45,40,41
T0147,42,44,43,48,40,45,41,41,46,48
T0148,43,40,40,45,42,44,47,42,48,41
T0149,44,45,42,43,40,41,41,47,40,41
T0150,43,41,44,48,42,48,46,47,41,44
T0151,41,42,46,41,40,44,43,48,46,42
T0152,41,48,43,43,45,41,48,46,45,46
T0153,48,47,43,48,46,44,44,45,46,42
T0154,42,41,42,46,43,41,43,46,41,48
T0155,40,48,46,41,42,48,42,48,43,40
T0156,48,47,46,46,40,42,42,40,45,41
T0157,42,40,43,43,44,46,44,48,46,47
T0158,40,44,42,41,45,48,42,48,40,45
T0159,43,48,46,42,42,47,46,46,43,43
T0160,43,40,46,44,44,40,40,48,44,44
T0161,42,45,40,40,46,40,40,47,47,40
T0162,48,44,45,41,46,43,44,48,43,47
T0163,48,45,43,41,45,45,45,42,45,43
T0164,44,48,46,40,43,40,40,43,47,41
T0165,44,41,42,43,44,42,45,45,47,44
T0166,46,44,47,43,43,47,45,48,47,48
T0167,40,40,40,46,44,46,43,48,47,45
T0168,45,48,45,43,42,47,47,42,46,46
T0169,41,47,44,45,48,47,44,41,41,43
T0170,46,40,42,40,48,47,48,46,46,43
T0171,46,45,42,42,46,43,45,46,44,41
T0172,47,45,44,48,48,47,42,40,45,48
T0173,46,48,43,41,48,48,40,42,41,46
T0174,45,46,44,42,46,40,48,47,43,47
T0175,40,45,47,48,43,42,42,42,46,41
T0176,42,43,46,45,43,43,48,40,46,48
T0177,44,48,42,47,42,42,47,46,47,40
T0178,45,45,48,48,47,47,40,43,41,47
T0179,43,43,48,44,44,40,48,46,43,45
T0180,46,48,44,46,47,41,44,47,43,44
