,K01,K02,K03,K04,K05,K06,K07,K08,K09,K10
T0001,10.6918,16.0377,10.6918,17.8196666666667,17.8196666666667,16.0377,19.6016333333333,16.0377,14.2557333333333,39.2032666666667
T0002,15.7647,21.0196,10.5098,8.75816666666667,12.2614333333333,10.5098,14.0130666666667,19.2679666666667,8.75816666666667,54.3006333333333
T0003,12.3802,21.2232,8.843,14.1488,10.6116,19.4546,8.843,10.6116,15.9174,54.8266
T0004,19.4179333333333,10.5916,14.1221333333333,8.82633333333333,21.1832,8.82633333333333,12.3568666666667,15.8874,10.5916,54.7232666666667
T0005,21.8628,9.1095,20.0409,14.5752,20.0409,12.7533,14.5752,9.1095,16.3971,43.7256
T0006,9.72583333333333,15.5613333333333,23.342,11.671,13.6161666666667,17.5065,23.342,19.4516666666667,23.342,36.9581666666667
T0007,18.6243,18.6243,20.6936666666667,24.8324,10.3468333333333,18.6243,20.6936666666667,14.4855666666667,12.4162,47.5954333333333
T0008,22.9727666666667,22.9727666666667,18.7959,22.9727666666667,25.0612,16.7074666666667,14.6190333333333,18.7959,25.0612,20.8843333333334
T0009,16.6546666666667,18.7365,24.982,18.7365,14.5728333333333,24.982,16.6546666666667,20.8183333333333,20.8183333333333,31.2275
T0010,19.4424,19.4424,17.2821333333333,23.7629333333333,19.4424,25.9232,25.9232,19.4424,23.7629333333333,21.6026666666667
T0011,17.7888,17.7888,22.236,20.0124,17.7888,20.0124,17.7888,22.236,24.4596,42.2484
T0012,22.736,13.6416,13.6416,22.736,15.9152,11.368,13.6416,22.736,25.0096,65.9344
T0013,15.7518666666667,22.5026666666667,27.0032,11.2513333333333,27.0032,24.7529333333333,18.0021333333333,27.0032,11.2513333333333,40.5048
T0014,15.5652,22.236,17.7888,20.0124,24.4596,17.7888,11.118,15.5652,11.118,66.708
T0015,13.0762,17.4349333333333,26.1524,21.7936666666667,10.8968333333333,26.1524,26.1524,15.2555666666667,23.9730333333333,37.0492333333333
T0016,10.781,12.9372,25.8744,10.781,15.0934,25.8744,21.562,10.781,15.0934,66.8422
T0017,15.5444333333333,15.5444333333333,22.2063333333333,15.5444333333333,13.3238,26.6476,24.4269666666667,19.9857,11.1031666666667,57.7364666666667
T0018,11.4698333333333,16.0577666666667,20.6457,13.7638,13.7638,27.5276,11.4698333333333,13.7638,13.7638,87.1707333333333
T0019,27.3716,11.4048333333333,18.2477333333333,18.2477333333333,11.4048333333333,22.8096666666667,13.6858,20.5287,25.0906333333333,59.3051333333333
T0020,27.0364,20.2773,20.2773,27.0364,13.5182,15.7712333333333,20.2773,13.5182,15.7712333333333,51.8197666666667
T0021,24.0848666666667,15.3267333333333,19.7058,15.3267333333333,10.9476666666667,26.2744,19.7058,15.3267333333333,15.3267333333333,56.9278666666667
