,D1,D2,D3
T0001,30,30,30
T0002,30,30,30
T0003,30,30,30
T0004,30,30,30
T0005,30,30,30
T0006,30,30,30
T0007,30,30,30
T0008,30,30,30
T0009,30,30,30
T0010,30,30,30
T0011,30,30,30
T0012,30,30,30
T0013,30,30,30
T0014,30,30,30
T0015,30,30,30
T0016,30,30,30
T0017,30,30,30
T0018,30,30,30
T0019,30,30,30
T0020,30,30,30
T0021,30,30,30
T0022,30,30,30
T0023,30,30,30
T0024,30,30,30
T0025,30,30,30
T0026,30,30,30
T0027,30,30,30
T0028,30,30,30
T0029,30,30,30
T0030,30,30,30
T0031,30,30,30
T0032,30,30,30
T0033,30,30,30
T0034,30,30,30
T0035,30,30,30
T0036,30,30,30
T0037,30,30,30
T0038,30,30,30
T0039,30,30,30
T0040,30,30,30
T0041,30,30,30
T0042,30,30,30
T0043,30,30,30
T0044,30,30,30
T0045,30,30,30
T0046,30,30,30
T0047,30,30,30
T0048,30,30,30
T0049,30,30,30
T0050,30,30,30
T0051,30,30,30
T0052,30,30,30
T0053,30,30,30
T0054,30,30,30
T0055,30,30,30
T0056,30,30,30
T0057,30,30,30
T0058,30,30,30
T0059,30,30,30
T0060,30,30,30
T0061,30,30,30
T0062,30,30,30
T0063,30,30,30
T0064,30,30,30
T0065,30,30,30
T0066,30,30,30
T0067,30,30,30
T0068,30,30,30
T0069,30,30,30
T0070,30,30,30
T0071,30,30,30
T0072,30,30,30
T0073,30,30,30
T0074,30,30,30
T0075,30,30,30
T0076,30,30,30
T0077,30,30,30
T0078,30,30,30
T0079,30,30,30
T0080,30,30,30
T0081,30,30,30
T0082,30,30,30
T0083,30,30,30
T0084,30,30,30
T0085,30,30,30
T0086,30,30,30
T0087,30,30,30
T0088,30,30,30
T0089,30,30,30
T0090,30,30,30
T0091,30,30,30
T0092,30,30,30
T0093,30,30,30
T0094,30,30,30
T0095,30,30,30
T0096,30,30,30
T0097,30,30,30
T0098,30,30,30
T0099,30,30,30
T0100,30,30,30
T0101,30,30,30
T0102,30,30,30
T0103,30,30,30
T0104,30,30,30
T0105,30,30,30
T0106,30,30,30
T0107,30,30,30
T0108,30,30,30
T0109,30,30,30
T0110,30,30,30
T0111,30,30,30
T0112,30,30,30
T0113,30,30,30
T0114,30,30,30
T0115,30,30,30
T0116,30,30,30
T0117,30,30,30
T0118,30,30,30
T0119,30,30,30
T0120,30,30,30
T0121,30,30,30
T0122,30,30,30
T0123,30,30,30
T0124,30,30,30
T0125,30,30,30
T0126,30,30,30
T0127,30,30,30
T0128,30,30,30
T0129,30,30,30
T0130,30,30,30
T0131,30,30,30
T0132,30,30,30
T0133,30,30,30
T0134,30,30,30
T0135,30,30,30
T0136,30,30,30
T0137,30,30,30
T0138,30,30,30
T0139,30,30,30
T0140,30,30,30
T0141,30,30,30
T0142,30,30,30
T0143,30,30,30
T0144,30,30,30
T0145,30,30,30
T0146,30,30,30
T0147,30,30,30
T0148,30,30,30
T0149,30,30,30
T0150,30,30,30
T0151,30,30,30
T0152,30,30,30
T0153,30,30,30
T0154,30,30,30
T0155,30,30,30
T0156,30,30,30
T0157,30,30,30
T0158,30,30,30
T0159,30,30,30
T0160,30,30,30
T0161,30,30,30
T0162,30,30,30
T0163,30,30,30
T0164,30,30,30
T0165,30,30,30
T0166,30,30,30
T0167,30,30,30
T0168,30,30,30
T0169,30,30,30
T0170,30,30,30
T0171,30,30,30
T0172,30,30,30
T0173,30,30,30
T0174,30,30,30
T0175,30,30,30
T0176,30,30,30
T0177,30,30,30
T0178,30,30,30
T0179,30,30,30
T0180,30,30,30
T0181,30,30,30
T0182,30,30,30
T0183,30,30,30
T0184,30,30,30
T0185,30,30,30
T0186,30,30,30
T0187,30,30,30
T0188,30,30,30
T0189,30,30,30
T0190,30,30,30
T0191,30,30,30
T0192,30,30,30
T0193,30,30,30
T0194,30,30,30
T0195,30,30,30
T0196,30,30,30
T0197,30,30,30
T0198,30,30,30
T0199,30,30,30
T0200,30,30,30
T0201,30,30,30
T0202,30,30,30
T0203,30,30,30
T0204,30,30,30
T0205,30,30,30
T0206,30,30,30
T0207,30,30,30
T0208,30,30,30
T0209,30,30,30
T0210,30,30,30
T0211,30,30,30
T0212,30,30,30
T0213,30,30,30
T0214,30,30,30
T0215,30,30,30
T0216,30,30,30
T0217,30,30,30
T0218,30,30,30
T0219,30,30,30
T0220,30,30,30
T0221,30,30,30
T0222,30,30,30
T0223,30,30,30
T0224,30,30,30
T0225,30,30,30
T0226,30,30,30
T0227,30,30,30
T0228,30,30,30
T0229,30,30,30
T0230,30,30,30
T0231,30,30,30
T0232,30,30,30
T0233,30,30,30
T0234,30,30,30
T0235,30,30,30
T0236,30,30,30
T0237,30,30,30
T0238,30,30,30
T0239,30,30,30
T0240,30,30,30
T0241,30,30,30
T0242,30,30,30
T0243,30,30,30
T0244,30,30,30
T0245,30,30,30
T0246,30,30,30
T0247,30,30,30
T0248,30,30,30
T0249,30,30,30
