,K01,K02,K03,K04,K05,K06,K07,K08,K09,K10
T0001,19.6016333333333,16.0377,14.2557333333333,16.0377,16.0377,19.6016333333333,16.0377,17.8196666666667,16.0377,26.7295
T0002,17.5163333333333,19.2679666666667,14.0130666666667,19.2679666666667,14.0130666666667,14.0130666666667,15.7647,19.2679666666667,14.0130666666667,28.0261333333333
T0003,14.1488,14.1488,14.1488,17.686,17.686,14.1488,17.686,14.1488,14.1488,38.9092
T0004,17.6526666666667,19.4179333333333,19.4179333333333,14.1221333333333,17.6526666666667,14.1221333333333,15.8874,19.4179333333333,15.8874,22.9484666666667
T0005,16.3971,16.3971,18.219,16.3971,20.0409,18.219,20.0409,14.5752,14.5752,27.3285
T0006,17.5065,17.5065,17.5065,15.5613333333333,15.5613333333333,15.5613333333333,19.4516666666667,17.5065,21.3968333333333,36.9581666666667
T0007,22.7630333333333,16.5549333333333,20.6936666666667,20.6936666666667,20.6936666666667,20.6936666666667,18.6243,22.7630333333333,16.5549333333333,26.9017666666667
T0008,22.9727666666667,16.7074666666667,22.9727666666667,22.9727666666667,22.9727666666667,22.9727666666667,22.9727666666667,20.8843333333333,18.7959,14.6190333333333
T0009,22.9001666666667,16.6546666666667,20.8183333333333,20.8183333333333,18.7365,18.7365,18.7365,16.6546666666667,16.6546666666667,37.473
T0010,17.2821333333333,21.6026666666667,17.2821333333333,17.2821333333333,19.4424,17.2821333333333,21.6026666666667,23.7629333333333,19.4424,41.0450666666667
T0011,17.7888,20.0124,17.7888,22.236,22.236,20.0124,24.4596,20.0124,22.236,35.5776
T0012,20.4624,20.4624,18.1888,22.736,18.1888,20.4624,22.736,25.0096,18.1888,40.9248
T0013,22.5026666666667,20.2524,24.7529333333333,20.2524,20.2524,24.7529333333333,24.7529333333333,18.0021333333333,20.2524,29.2534666666667
T0014,20.0124,17.7888,22.236,20.0124,17.7888,17.7888,24.4596,24.4596,24.4596,33.354
T0015,21.7936666666667,17.4349333333333,23.9730333333333,21.7936666666667,17.4349333333333,21.7936666666667,19.6143,21.7936666666667,17.4349333333333,34.8698666666667
T0016,21.562,19.4058,17.2496,17.2496,21.562,21.562,17.2496,23.7182,23.7182,32.343
T0017,17.7650666666667,24.4269666666667,17.7650666666667,17.7650666666667,17.7650666666667,19.9857,24.4269666666667,17.7650666666667,22.2063333333333,42.1920333333333
T0018,18.3517333333333,25.2336333333333,18.3517333333333,18.3517333333333,22.9396666666667,18.3517333333333,18.3517333333333,18.3517333333333,20.6457,50.4672666666667
T0019,20.5287,18.2477333333333,18.2477333333333,20.5287,18.2477333333333,25.0906333333333,25.0906333333333,20.5287,20.5287,41.0574
