,D1,D2,D3
T0001,3.10116309191661,3.69528909801349,4.90350569603031
T0002,3.10108047595409,3.69518396549788,4.90333533107344
T0003,3.10099796561749,3.69507896777585,4.90316518668681
T0004,3.10091556093032,3.69497410487589,4.90299526290831
T0005,3.10083326191602,3.69486937682635,4.90282555977561
T0006,3.10075106859797,3.69476478365553,4.90265607732628
T0007,3.10066898099952,3.6946603253917,4.9024868155979
T0008,3.10058699914409,3.69455600206318,4.90231777462814
T0009,3.100505123055,3.69445181369822,4.9021489544545
T0010,3.10042335275547,3.6943477603249,4.90198035511428
T0011,3.10034168826869,3.6942438419713,4.90181197664475
T0012,3.10026012961793,3.69414005866555,4.90164381908331
T0013,3.10017867682633,3.69403641043569,4.90147588246717
T0014,3.10009732991701,3.69393289730965,4.90130816683341
T0015,3.10001608891306,3.69382951931542,4.9011406722192
T0016,3.09993495383754,3.69372627648087,4.90097339866152
T0017,3.09985392471347,3.69362316883386,4.90080634619737
T0018,3.09977300156384,3.69352019640219,4.90063951486363
T0019,3.09969218441156,3.6934173592136,4.9004729046971
T0020,3.09961147327957,3.69331465729584,4.90030651573461
T0021,3.09953086819078,3.69321209067662,4.90014034801292
T0022,3.09945036916794,3.69310965938347,4.89997440156855
T0023,3.09936997623391,3.69300736344402,4.89980867643814
T0024,3.09928968941143,3.69290520288581,4.89964317265821
T0025,3.09920950872326,3.69280317773636,4.89947789026526
T0026,3.0991294341921,3.69270128802313,4.8993128292957
T0027,3.0990494658406,3.69259953377351,4.89914798978586
T0028,3.09896960369133,3.6924979150148,4.89898337177187
T0029,3.09888984776697,3.69239643177444,4.89881897529016
T0030,3.09881019809,3.69229508407962,4.89865480037673
T0031,3.09873065468293,3.69219387195755,4.89849084706764
T0032,3.09865121756832,3.69209279543554,4.8983271153991
T0033,3.09857188676857,3.69199185454067,4.89816360540696
T0034,3.09849266230609,3.69189104930003,4.89800031712712
T0035,3.09841354420319,3.69179037974061,4.8978372505953
T0036,3.09833453248232,3.69168984588956,4.89767440584749
T0037,3.09825562716571,3.69158944777375,4.89751178291927
T0038,3.09817682827567,3.69148918542017,4.89734938184636
T0039,3.09809813583444,3.69138905885572,4.89718720266439
T0040,3.09801954986416,3.69128906810716,4.89702524540877
T0041,3.09794107038701,3.69118921320131,4.89686351011499
T0042,3.09786269742512,3.69108949416491,4.89670199681846
T0043,3.09778443100062,3.69098991102475,4.89654070555465
T0044,3.09770627113545,3.69089046380733,4.89637963635857
T0045,3.09762821785178,3.69079115253948,4.89621878926576
T0046,3.0975502711715,3.69069197724763,4.89605816431118
T0047,3.09747243111657,3.69059293795836,4.89589776152997
T0048,3.09739469770889,3.69049403469813,4.89573758095712
T0049,3.09731707097037,3.69039526749342,4.89557762262768
T0050,3.09723955092282,3.69029663637061,4.8954178865765
T0051,3.0971621375881,3.69019814135613,4.89525837283855
T0052,3.09708483098789,3.69009978247615,4.89509908144841
T0053,3.09700763114405,3.69000155975712,4.89494001244106
T0054,3.09693053807817,3.68990347322515,4.89478116585098
T0055,3.09685355181194,3.68980552290642,4.8946225417128
T0056,3.09677667236698,3.68970770882709,4.89446414006105
T0057,3.09669989976494,3.68961003101332,4.89430596093033
T0058,3.09662323402734,3.68951248949112,4.89414800435499
T0059,3.09654667517572,3.68941508428651,4.8939902703694
T0060,3.09647022323157,3.68931781542547,4.89383275900788
T0061,3.09639387821632,3.6892206829339,4.89367547030464
T0062,3.09631764015137,3.68912368683766,4.8935184042938
T0063,3.09624150905812,3.6890268271626,4.89336156100951
T0064,3.096165484958,3.68893010393463,4.89320494048601
T0065,3.09608956787221,3.68883351717936,4.89304854275705
T0066,3.0960137578221,3.68873706692258,4.89289236785671
T0067,3.09593805482882,3.68864075318986,4.8927364158187
T0068,3.0958624589137,3.68854457600698,4.89258068667709
T0069,3.0957869700978,3.68844853539937,4.89242518046539
T0070,3.09571158840234,3.68835263139266,4.89226989721746
T0071,3.09563631384838,3.6882568640123,4.89211483696684
T0072,3.09556114645703,3.68816123328382,4.89195999974722
T0073,3.09548608624924,3.68806573923249,4.89180538559191
T0074,3.09541113324609,3.68797038188381,4.89165099453457
T0075,3.09533628746853,3.68787516126307,4.89149682660853
T0076,3.0952615489374,3.68778007739544,4.89134288184697
T0077,3.0951869176737,3.6876851303063,4.89118916028337
T0078,3.09511239369824,3.68759032002078,4.89103566195085
