;K01;K02;K03;K04;K05;K06;K07;K08;K09;K10;;;;
T0001;75;29;76;84;54;50;40;74;43;96;T0001;621;;871
T0002;79;68;87;88;21;42;97;99;37;74;T0002;692;;
T0003;53;94;26;54;12;55;95;35;60;77;T0003;561;;
T0004;22;52;26;54;98;78;82;27;94;22;T0004;555;;
T0005;17;57;34;38;34;15;69;71;45;29;T0005;409;;
T0006;93;92;47;67;25;88;18;17;20;13;T0006;480;;
T0007;81;85;88;65;94;12;23;94;46;21;T0007;609;;
T0008;66;93;27;65;84;73;85;40;47;58;T0008;638;;
T0009;63;37;61;51;15;13;91;41;57;90;T0009;519;;
T0010;85;31;78;58;80;24;37;94;58;18;T0010;563;;
T0011;36;73;35;29;89;23;34;43;61;10;T0011;433;;
T0012;35;25;28;75;33;91;38;89;49;97;T0012;560;;
T0013;27;95;41;17;41;100;60;63;41;52;T0013;537;;
T0014;43;89;95;85;22;44;12;52;83;58;T0014;583;;
T0015;89;61;22;69;32;12;35;33;13;96;T0015;462;;
T0016;44;26;10;49;74;63;21;75;34;22;T0016;418;;
T0017;90;46;93;25;65;75;20;87;80;93;T0017;674;;
T0018;35;74;31;58;80;64;49;97;15;99;T0018;602;;
T0019;37;32;98;35;89;79;72;62;54;73;T0019;631;;
T0020;44;91;10;46;35;40;67;67;83;85;T0020;568;;
T0021;93;59;85;40;36;83;63;71;30;63;T0021;623;;
T0022;85;49;49;73;53;100;96;19;49;26;T0022;599;;
T0023;90;16;69;66;83;41;41;89;14;63;T0023;572;;
T0024;47;80;67;26;34;18;61;76;73;86;T0024;568;;
T0025;66;38;36;19;45;54;66;87;69;45;T0025;525;;
T0026;27;70;11;66;97;81;43;35;45;29;T0026;504;;
T0027;73;12;97;75;32;43;58;85;27;28;T0027;530;;
T0028;58;19;63;88;48;12;43;57;48;27;T0028;463;;
T0029;81;10;39;13;19;48;87;45;21;92;T0029;455;;
T0030;97;50;66;76;72;58;37;31;91;41;T0030;619;;
T0031;93;52;59;62;82;99;60;14;13;59;T0031;593;;
T0032;99;48;32;91;13;81;32;76;36;99;T0032;607;;
T0033;39;100;65;70;13;82;18;53;78;61;T0033;579;;
T0034;17;82;42;92;56;64;33;30;19;10;T0034;445;;
T0035;47;69;44;36;96;64;66;30;96;49;T0035;597;;
T0036;18;100;27;59;78;83;41;42;21;52;T0036;521;;
T0037;93;34;73;33;29;45;99;56;21;27;T0037;510;;
T0038;15;90;63;53;18;57;85;78;57;38;T0038;554;;
T0039;27;32;78;69;29;23;25;10;81;65;T0039;439;;
T0040;44;63;54;81;60;13;97;13;22;52;T0040;499;;
T0041;24;94;37;61;37;33;83;96;65;57;T0041;587;;
T0042;43;66;46;67;86;46;40;64;99;74;T0042;631;;
T0043;87;93;72;25;65;17;46;26;94;41;T0043;566;;
T0044;24;21;22;62;39;25;80;55;87;44;T0044;459;;
T0045;97;100;16;89;46;19;41;17;13;81;T0045;519;;
T0046;92;37;90;38;29;80;27;43;28;81;T0046;545;;
T0047;25;23;71;43;68;85;13;45;74;20;T0047;467;;
T0048;100;66;39;57;74;65;13;47;62;80;T0048;603;;
T0049;61;55;14;16;19;36;50;35;24;89;T0049;399;;
T0050;45;46;63;11;100;55;34;38;89;84;T0050;565;;
T0051;32;56;73;56;75;88;75;88;66;56;T0051;665;;
T0052;28;40;93;97;16;71;92;75;72;19;T0052;603;;
T0053;68;96;53;62;76;29;62;48;58;95;T0053;647;;
T0054;100;89;98;84;46;16;21;69;91;67;T0054;681;;
T0055;65;69;99;53;89;27;76;58;66;27;T0055;629;;
T0056;76;27;76;95;51;53;75;54;69;93;T0056;669;;
T0057;75;82;91;11;90;33;52;54;19;83;T0057;590;;
